building_id,prediction_time,predicted_load
BuildingA_1,1/1/2025 0:00,
BuildingA_2,1/1/2025 1:00,
BuildingA_3,1/1/2025 2:00,
BuildingA_4,1/1/2025 3:00,
BuildingA_5,1/1/2025 4:00,
BuildingA_6,1/1/2025 5:00,
BuildingA_7,1/1/2025 6:00,
BuildingA_8,1/1/2025 7:00,
BuildingA_9,1/1/2025 8:00,
BuildingA_10,1/1/2025 9:00,
BuildingA_11,1/1/2025 10:00,
BuildingA_12,1/1/2025 11:00,
BuildingA_13,1/1/2025 12:00,
BuildingA_14,1/1/2025 13:00,
BuildingA_15,1/1/2025 14:00,
BuildingA_16,1/1/2025 15:00,
BuildingA_17,1/1/2025 16:00,
BuildingA_18,1/1/2025 17:00,
BuildingA_19,1/1/2025 18:00,
BuildingA_20,1/1/2025 19:00,
BuildingA_21,1/1/2025 20:00,
BuildingA_22,1/1/2025 21:00,
BuildingA_23,1/1/2025 22:00,
BuildingA_24,1/1/2025 23:00,
BuildingA_25,2/1/2025 0:00,
BuildingA_26,2/1/2025 1:00,
BuildingA_27,2/1/2025 2:00,
BuildingA_28,2/1/2025 3:00,
BuildingA_29,2/1/2025 4:00,
BuildingA_30,2/1/2025 5:00,
BuildingA_31,2/1/2025 6:00,
BuildingA_32,2/1/2025 7:00,
BuildingA_33,2/1/2025 8:00,
BuildingA_34,2/1/2025 9:00,
BuildingA_35,2/1/2025 10:00,
BuildingA_36,2/1/2025 11:00,
BuildingA_37,2/1/2025 12:00,
BuildingA_38,2/1/2025 13:00,
BuildingA_39,2/1/2025 14:00,
BuildingA_40,2/1/2025 15:00,
BuildingA_41,2/1/2025 16:00,
BuildingA_42,2/1/2025 17:00,
BuildingA_43,2/1/2025 18:00,
BuildingA_44,2/1/2025 19:00,
BuildingA_45,2/1/2025 20:00,
BuildingA_46,2/1/2025 21:00,
BuildingA_47,2/1/2025 22:00,
BuildingA_48,2/1/2025 23:00,
BuildingA_49,3/1/2025 0:00,
BuildingA_50,3/1/2025 1:00,
BuildingA_51,3/1/2025 2:00,
BuildingA_52,3/1/2025 3:00,
BuildingA_53,3/1/2025 4:00,
