station_code,station_name_en,station_name_tc,station_name_sc,date_of_first_operation,latitude,longitude,above_mean_sea_level
CLK,Chek Lap Kok,赤鱲角,赤鱲角,1997-06-01,22.30944444,113.9219444,6
CCH,Cheung Chau,長洲,长洲,1992-03-30,22.20111111,114.0266667,72
HPV,Happy Valley,跑馬地,跑马地,2008-12-01,22.27055556,114.1836111,5
HKO,Hong Kong Observatory,天文台,天文台,1884-01-01,22.30194444,114.1741667,32
HKP,Hong Kong Park,香港公園,香港公园,2007-09-04,22.27833333,114.1622222,26
SE1,Kai Tak Runway Park,啟德跑道公園,启德跑道公园,2014-12-17,22.30972222,114.2133333,3.8
KP,King's Park,京士柏,京士柏,1992-07-01,22.31194444,114.1727778,65
KLT,Kowloon City,九龍城,九龙城,1998-09-04,22.335,114.1847222,92
KTG,Kwun Tong,觀塘,观塘,2009-10-21,22.31861111,114.2247222,90
LFS,Lau Fau Shan,流浮山,流浮山,1985-09-16,22.46888889,113.9836111,31
SKG,Sai Kung,西貢,西贡,1993-03-03,22.37555556,114.2744444,4
SHA,Sha Tin,沙田,沙田,1984-10-01,22.4025,114.21,6
SSP,Sham Shui Po,深水埗,深水埗,2010-03-09,22.33583333,114.1369444,11
SKW,Shau Kei Wan,筲箕灣,筲箕湾,2007-09-17,22.28166667,114.2361111,53
SEK,Shek Kong,石崗,石岗,1996-11-04,22.43611111,114.0847222,16
STY,Stanley,赤柱,赤柱,2009-06-12,22.21416667,114.2186111,31
TKL,Ta Kwu Ling,打鼓嶺,打鼓岭,1985-10-14,22.52861111,114.1566667,15
PLC,Tai Mei Tuk,大美督,大美督,1993-01-01,22.47527778,114.2375,51
TPO,Tai Po,大埔,大埔,1999-02-03,22.44611111,114.1788889,15
JKB,Tseung Kwan O,將軍澳,将军澳,1991-12-01,22.31583333,114.2555556,38
TY1,Tsing Yi,青衣,青衣,2010-08-23,22.34805556,114.1091667,8
TWN,Tsuen Wan,荃灣,荃湾,2006-04-25,22.38361111,114.1077778,142
TW,Tsuen Wan Shing Mun Valley,荃灣城門谷,荃湾城门谷,2010-12-07,22.37555556,114.1238889,35
TU1,Tuen Mun,屯門,屯门,2007-01-01,22.39055556,113.9766667,28
HKS,Wong Chuk Hang,黃竹坑,黃竹坑,1989-08-01,22.24777778,114.1736111,5
WTS,Wong Tai Sin,黃大仙,黄大仙,2009-03-27,22.33944444,114.2052778,21
YLP,Yuen Long Park,元朗公園,元朗公园,2015-03-20,22.41888889,113.9961111,8
