start_date,end_date,summary,uid
20230102,20230103,The day following the first day of January,20230102@1823.gov.hk
20230123,20230124,The second day of Lunar New Year,20230123@1823.gov.hk
20230124,20230125,The third day of Lunar New Year,20230124@1823.gov.hk
20230125,20230126,The fourth day of Lunar New Year,20230125@1823.gov.hk
20230405,20230406,Ching Ming Festival,20230405@1823.gov.hk
20230407,20230408,Good Friday,20230407@1823.gov.hk
20230408,20230409,The day following Good Friday,20230408@1823.gov.hk
20230410,20230411,Easter Monday,20230410@1823.gov.hk
20230501,20230502,Labour Day,20230501@1823.gov.hk
20230526,20230527,The Birthday of the Buddha,20230526@1823.gov.hk
20230622,20230623,Tuen Ng Festival,20230622@1823.gov.hk
20230701,20230702,Hong Kong Special Administrative Region Establishment Day,20230701@1823.gov.hk
20230930,20231001,The day following the Chinese Mid-Autumn Festival,20230930@1823.gov.hk
20231002,20231003,The day following National Day,20231002@1823.gov.hk
20231023,20231024,Chung Yeung Festival,20231023@1823.gov.hk
20231225,20231226,Christmas Day,20231225@1823.gov.hk
20231226,20231227,The first weekday after Christmas Day,20231226@1823.gov.hk
20240101,20240102,The first day of January,20240101@1823.gov.hk
20240210,20240211,Lunar New Year's Day,20240210@1823.gov.hk
20240212,20240213,The third day of Lunar New Year,20240212@1823.gov.hk
20240213,20240214,The fourth day of Lunar New Year,20240213@1823.gov.hk
20240329,20240330,Good Friday,20240329@1823.gov.hk
20240330,20240331,The day following Good Friday,20240330@1823.gov.hk
20240401,20240402,Easter Monday,20240401@1823.gov.hk
20240404,20240405,Ching Ming Festival,20240404@1823.gov.hk
20240501,20240502,Labour Day,20240501@1823.gov.hk
20240515,20240516,The Birthday of the Buddha,20240515@1823.gov.hk
20240610,20240611,Tuen Ng Festival,20240610@1823.gov.hk
20240701,20240702,Hong Kong Special Administrative Region Establishment Day,20240701@1823.gov.hk
20240918,20240919,The day following the Chinese Mid-Autumn Festival,20240918@1823.gov.hk
20241001,20241002,National Day,20241001@1823.gov.hk
20241011,20241012,Chung Yeung Festival,20241011@1823.gov.hk
20241225,20241226,Christmas Day,20241225@1823.gov.hk
20241226,20241227,The first weekday after Christmas Day,20241226@1823.gov.hk
20250101,20250102,The first day of January,20250101@1823.gov.hk
20250129,20250130,Lunar New Year's Day,20250129@1823.gov.hk
20250130,20250131,The second day of Lunar New Year,20250130@1823.gov.hk
20250131,20250201,The third day of Lunar New Year,20250131@1823.gov.hk
20250404,20250405,Ching Ming Festival,20250404@1823.gov.hk
20250418,20250419,Good Friday,20250418@1823.gov.hk
20250419,20250420,The day following Good Friday,20250419@1823.gov.hk
20250421,20250422,Easter Monday,20250421@1823.gov.hk
20250501,20250502,Labour Day,20250501@1823.gov.hk
20250505,20250506,The Birthday of the Buddha,20250505@1823.gov.hk
20250531,20250601,Tuen Ng Festival,20250531@1823.gov.hk
20250701,20250702,Hong Kong Special Administrative Region Establishment Day,20250701@1823.gov.hk
20251001,20251002,National Day,20251001@1823.gov.hk
20251007,20251008,The day following the Chinese Mid-Autumn Festival,20251007@1823.gov.hk
20251029,20251030,Chung Yeung Festival,20251029@1823.gov.hk
20251225,20251226,Christmas Day,20251225@1823.gov.hk
20251226,20251227,The first weekday after Christmas Day,20251226@1823.gov.hk
